калганнар	кал+V+PCP_PS(ГАн)+PL(ЛАр)+Nom;кал+V+PST_INDF(ГАн)+3PL(ЛАр);	кал[V]: оставаться, остаться
.	Type1
Шуларның	шул+PN+PL(ЛАр)+GEN(нЫң);	шул[PN]: это, так, оттуда, потом
токымнары	токым+N+PL(ЛАр)+POSS_3(СЫ)+Nom;	токым[N]: порода
,	Type2
Александр	александр+PROP+Sg+Nom;
патша	патша+N+Sg+Nom;	патша[N]: царь
манифестыннан	манифест+N+Sg+POSS_3(СЫ)+ABL(ДАн);
соң	соң+Adv;соң+N+Sg+Nom;соң+PART;соң+POST;	соң[Adv]: же, поздно, последний | соң[N]: конец | соң[POST]: после
,	Type2
җир	җир+N+Sg+Nom;	җир[N]: земля, земной
даулап	дау+N+DISTR(лАп);даула+V+ADVV_ACC(Ып);
кайтсалар	кайт+V+COND(сА)+3PL(ЛАр);	кайт[V]: возвратиться, возвращаться, возвращение
да	да+PART;
,	Type2
Галкәй	галкәй+N+Sg+Nom;
хуҗа	хуҗа+N+Sg+Nom;	хуҗа[N]: хозяин
аларга	алар+PN+DIR(ГА);	алар[PN]: они
почмагына	почмак+N+Sg+POSS_3(СЫ)+DIR(ГА);	почмак[N]: угол, уголок
сәмруг	сәмруг+N+Sg+Nom;
башлы	баш+N+ATTR_MUN(лЫ);	баш[N]: голова
мөһер	мөһер+N+Sg+Nom;	мөһер[N]: печать
сугылган	сугыл+V+PCP_PS(ГАн);сугыл+V+PST_INDF(ГАн);сук+V+PASS(Ыл)+PCP_PS(ГАн);сук+V+PASS(Ыл)+PST_INDF(ГАн);	сук[V]: бить, побить
борынгы	борынгы+Adj;
кәгазьне	кәгазь+N+Sg+ACC(нЫ);	кәгазь[N]: бумага, бумажный
генә	генә+PART;
күрсәткән	күрсәт+V+PCP_PS(ГАн);күрсәт+V+PST_INDF(ГАн);	күрсәт[V]: показать, показывать
:	Type2
И	и+INTRJ;и+V+IMP_SG();
.	Type1
Сталин	сталин+PROP+Sg+Nom;
—	Type2
Минем	мин+PN+GEN(нЫң);	мин[PN]: я, мой
бабаларым	баба+N+PL(ЛАр)+POSS_1SG(Ым)+Nom;	баба[N]: дед
биләгән	билә+V+PCP_PS(ГАн);билә+V+PST_INDF(ГАн);	билә[V]: занимать, занять
җирләр…	Error
—	Type2
дип	ди+V+ADVV_ACC(Ып);	ди[V]: говорить, сказать
язылган	яз+V+PASS(Ыл)+PCP_PS(ГАн);яз+V+PASS(Ыл)+PST_INDF(ГАн);	яз[V]: написать, писать
ди	ди+V+PRES(Й);	ди[V]: говорить, сказать
анда	анда+PN;ул+PN+LOC(ДА);	ул[PN]: он, она, оно, они, его, их
,	Type2
—	Type2
заманасында	замана+N+Sg+POSS_3(СЫ)+LOC(ДА);
Болгар	болга+V+FUT_INDF(Ыр);болга+V+PCP_FUT(Ыр);болгар+N+Sg+Nom;болгар+PROP+Sg+Nom;
дәүләтендә	дәүләт+N+Sg+POSS_3(СЫ)+LOC(ДА);	дәүләт[N]: государство, государственный
базарбашы	базарбаш+N+Sg+POSS_3(СЫ)+Nom;
булган	бул+V+PCP_PS(ГАн);бул+V+PST_INDF(ГАн);	бул[V]: быть, случиться
бабамыз	бабамыз+N+Sg+Nom;
Сәедти	сәедти+N+Sg+Nom;
Error	гәнәй;
NR	милке;
милке+N+Sg+Nom;	саналмыштыр;
саналмыш+N+Sg+3SG(ДЫр);саналмыш+N+Sg+Nom+PROB(ДЫр);	.;
Type1	Соңыра;
NR	1623;
Num	нче;
NR	елда;
